"Error: This error will block the book from publishing. The error needs to be fixed in order to publish."
"Notice: This issue will not block the book from publishing and can be safely ignored as there will be no impact."
"Type","Description","Source File","Line Number","Text Preceding Warning or Error","Recommended Fix"
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0024030 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0024041 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0024052 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0024078 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0024104 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0024136 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0024162 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0024194 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0024340 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0024372 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0024440 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0024514 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0024525 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0024620 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0024631 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0024684 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0024695 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0024748 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0024831 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0024884 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0024916 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0024942 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0025067 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0025078 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0025350 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0025397 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0025516 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0025527 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0025538 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0025549 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0025596 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0025607 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0025618 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0025629 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0025640 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0025702 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0025734 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0025766 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0025777 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0025887 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0025898 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0025966 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0025992 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0026003 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0026077 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0026088 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0026120 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0026146 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0026157 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0026168 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0026230 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0026241 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0026273 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0026284 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0026379 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0026510 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0026521 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0026553 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0026564 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0026617 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0026649 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0026702 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0026749 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0026781 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0026792 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0026824 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0026934 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0026945 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0027061 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0027072 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0027083 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0027094 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0027105 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0027176 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0027187 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0027219 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0027308 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0027340 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0027372 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0027440 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0027502 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0027513 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0027581 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0027613 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0027717 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0027806 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0027838 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0027849 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0027881 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0027907 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0027975 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0028001 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0028027 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0028110 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0028151 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
